district,date,rain_sum,precipitation_sum,daylight_duration,uv_index_max,temp_max,temp_min,temp_daily_avg,humidity_daily_avg,rain_daily_total,precip_prob_daily_avg,dew_point_avg
Nuwara Eliya,2025-12-10,0.0,20.1,42233.95,5.85,22.2,14.5,18.645833333333332,87.54166666666667,0.0,28.958333333333332,16.454166666666666
Nuwara Eliya,2025-12-11,0.0,14.7,42228.48,6.55,23.0,15.5,19.016666666666666,83.45833333333333,0.0,23.0,16.070833333333333
Nuwara Eliya,2025-12-12,0.0,0.3,42223.57,6.4,23.7,13.4,18.716666666666665,80.16666666666667,0.0,20.416666666666668,14.924999999999999
Galle,2025-12-06,0.0,3.1,42411.65,7.65,27.0,25.8,26.504166666666666,86.91666666666667,0.0,32.875,24.166666666666668
Galle,2025-12-07,0.0,3.3,42405.0,6.55,27.5,26.0,26.7,84.54166666666667,0.0,20.833333333333332,23.900000000000002
Galle,2025-12-08,0.0,2.1,42398.79,7.65,27.8,26.0,26.808333333333334,85.29166666666667,0.0,20.5,24.133333333333336
Galle,2025-12-09,0.0,2.8,42393.02,6.05,27.8,25.7,26.75,84.58333333333333,0.0,26.25,23.9375
Galle,2025-12-10,0.0,10.5,42387.71,8.05,27.3,26.1,26.65833333333333,85.375,0.0,42.333333333333336,24.02916666666667
Galle,2025-12-11,0.0,7.1,42382.88,8.0,27.4,26.3,26.8625,85.16666666666667,0.0,32.25,24.1875
Galle,2025-12-12,0.0,1.2,42378.53,7.0,27.3,26.0,26.78333333333333,84.58333333333333,0.0,34.958333333333336,23.995833333333334
Matara,2025-12-06,0.0,6.8,42436.72,7.65,29.5,25.0,26.879166666666666,83.29166666666667,0.0,34.916666666666664,23.758333333333336
Matara,2025-12-07,0.0,4.4,42430.21,7.25,29.6,25.1,26.875,83.20833333333333,0.0,30.291666666666668,23.724999999999998
Matara,2025-12-08,0.0,0.5,42424.14,7.5,28.9,25.2,26.858333333333334,83.625,0.0,17.833333333333332,23.829166666666666
Matara,2025-12-09,0.0,4.0,42418.49,6.5,28.7,25.3,26.958333333333332,85.875,0.0,36.583333333333336,24.349999999999998
Matara,2025-12-10,0.0,11.4,42413.3,8.0,29.7,25.3,27.120833333333334,83.0,0.0,39.041666666666664,23.941666666666666
Matara,2025-12-11,0.0,1.8,42408.57,7.9,30.2,25.4,27.349999999999998,80.04166666666667,0.0,34.958333333333336,23.55
Matara,2025-12-12,0.0,1.7,42404.32,6.15,30.3,24.7,26.933333333333334,79.70833333333333,0.0,32.375,23.016666666666666
Hambantota,2025-12-06,0.0,0.2,42386.57,8.05,31.7,23.5,26.95,78.79166666666667,0.0,13.541666666666666,22.662499999999998
